StockCode,StockName,Category
6510,精測,24
5348,正能量智能,37
5272,笙科,24
4804,大略-KY,16
4173,久裕,22
6026,福邦證,17
4205,中華食,02
4529,淳紳,20
6894,衛司特,35
8284,三竹,30
4533,協易機,05
6506,雙邦,04
5529,鉅陞,14
5386,青雲,25
4979,華星光,27
4939,亞電,28
6274,台燿,28
5455,昇益,14
6517,保勝光學,26
3492,長盛,28
2729,瓦城,16
2751,王座,16
1599,宏佳騰,05
3339,泰谷,26
9951,皇田,05
4107,邦特,22
5227,立凱-KY,28
1799,易威,22
5603,陸海,15
8431,匯鑽科,31
3577,泓格,25
1796,金穎生技,02
4908,前鼎,27
6144,得利影,32
6207,雷科,28
6208,日揚,24
4304,勝昱,03
6492,生華科,22
4563,百德,05
3529,力旺,24
4139,馬光-KY,22
8066,來思達,38
2736,富野,16
4413,飛寶企業,04
6121,新普,25
8171,天宇,35
1593,祺驊,37
6279,胡連,28
6615,慧智,22
3444,利機,29
8923,時報,32
3527,聚積,24
3232,昱捷,29
8279,生展,22
8299,群聯,24
5289,宜鼎,25
3114,好德,28
8403,盛弘,22
3625,西勝,25
3234,光環,27
5223,安力-KY,25
6020,大展證,17
4416,三圓,14
3162,精確,05
3430,奇鈦科,21
3306,鼎天,27
3206,志豐,28
6185,幃翔,28
7547,碩網,36
3317,尼克森,24
7743,金利食安,02
1259,安心,16
6435,大中,24
8085,福華,31
3287,廣寰科,25
8227,巨有科技,24
6284,佳邦,28
6982,大井泵浦,05
3218,大學光,22
6219,富旺,14
6728,上洋,38
3570,大塚,30
6233,旺玖,24
8183,精星,31
4163,鐿鈦,22
3680,家登,24
6877,鏵友益,31
6123,上奇,30
6179,亞通,20
4568,科際精密,05
4749,新應材,24
3141,晶宏,24
3115,富榮綱,28
8477,創業家,36
3236,千如,28
1264,德麥,02
4767,誠泰科技,21
8049,晶采,26
5508,永信建,14
2073,雄順,10
4991,環宇-KY,24
4111,濟生,22
6584,南俊國際,28
6173,信昌電,28
6844,諾貝兒,22
1336,台翰,28
4973,廣穎,24
4401,東隆興,04
7723,築間,16
1240,茂生農經,33
3710,連展投控,28
3609,三一東林,28
5703,亞都,16
4442,竣邦-KY,04
6245,立端,27
8433,弘帆,38
6560,欣普羅,26
8342,益張,20
3615,安可,26
6419,京晨科,26
5340,建榮,28
4542,科嶠,28
9960,邁達康,37
4711,永純,21
3224,三顧,29
6242,立康,22
4171,瑞基,33
5403,中菲,30
5450,南良,20
6642,富致,28
8929,富堡,20
3349,寶德,25
4303,信立,03
4806,桂田文創,32
2924,宏太-KY,38
3265,台星科,24
3623,富晶通,26
8349,恒耀,10
5392,能率,26
3684,榮昌,27
2941,米斯特,38
4772,台特化,21
3217,優群,28
8097,常珵,27
4109,加捷生醫,22
6175,立敦,28
7642,昶瑞機電,05
6103,合邦,24
6968,萬達寵物,38
7728,光焱科技,31
6967,汎瑋材料,28
4909,新復興,27
5353,台林,27
3310,佳穎,28
6486,互動,27
5315,光聯,26
3555,博士旺,24
4945,陞達科技,24
4174,浩鼎,22
6561,是方,27
6829,千附精密,24
1580,新麥,05
8182,加高,28
4543,萬在,05
3374,精材,24
6712,長聖,22
6217,中探針,28
3073,天方能源,35
3388,崇越電,28
4903,聯光通,27
6138,茂達,24
6259,百徽,28
